time,S,I,R
88.0,7.414479589499982e-33,0.15096474059420417,999.8490352594075
88.5,7.252504650108298e-33,0.14360210331745038,999.8563978966843
89.0,7.101714303815731e-33,0.13659854608085087,999.8634014539209
89.5,6.961188606922279e-33,0.12993655636720022,999.8700634436345
90.0,6.830097816229205e-33,0.12359947575140154,999.8764005242504
90.5,6.707692100840189e-33,0.11757145819506858,999.8824285418067
91.0,6.593292600161273e-33,0.11183743050975695,999.888162569492
91.5,6.486283598568268e-33,0.10638305464719638,999.8936169453547
92.0,6.386105682986979e-33,0.10119469185710579,999.8988053081447
92.5,6.292249723569837e-33,0.09625936850909615,999.9037406314927
93.0,6.204251601127317e-33,0.09156474370707685,999.9084352562948
93.5,6.121687557150543e-33,0.08709907844678304,999.912900921555
94.0,6.044170093839273e-33,0.08285120627079205,999.917148793731
94.5,5.971344334720826e-33,0.07881050527152404,999.9211894947302
95.0,5.902884812647646e-33,0.07496687157118655,999.9250331284306
95.5,5.8384926175741586e-33,0.07131069408816133,999.9286893059136
96.0,5.77789286145769e-33,0.06783283050645054,999.9321671694953
96.5,5.72083240960483e-33,0.06452458433338404,999.9354754156683
97.0,5.667077867421729e-33,0.06137768321465221,999.9386223167871
97.5,5.6164137792790097e-33,0.058384258272440065,999.9416157417293
98.0,5.568641014538662e-33,0.05553682440992697,999.9444631755919
98.5,5.523575314624915e-33,0.05282826152390563,999.9471717384779
99.0,5.48104599792202e-33,0.050251796794579744,999.9497482032072
99.5,5.440894791929319e-33,0.04780098775162014,999.9521990122502
100.0,5.40297477497699e-33,0.045469706074115226,999.9545302939276
