time,ODE_I,SSA_I,difference
72.5,0.7112658738731558,0,-0.7112658738731558
73.0,0.6765770278282319,0,-0.6765770278282319
73.5,0.6435799767803487,0,-0.6435799767803487
74.0,0.61219221095314,0,-0.61219221095314
74.5,0.5823352445571351,0,-0.5823352445571351
75.0,0.5539344195590422,0,-0.5539344195590422
75.5,0.5269187191213776,0,-0.5269187191213776
76.0,0.5012205899139347,0,-0.5012205899139347
76.5,0.4767757732686676,0,-0.4767757732686676
77.0,0.45352314444238756,0,-0.45352314444238756
77.5,0.4314045597215579,0,-0.4314045597215579
78.0,0.41036471107907085,0,-0.41036471107907085
78.5,0.39035098794328155,0,-0.39035098794328155
79.0,0.37131334558515483,0,-0.37131334558515483
79.5,0.35320418002083914,0,-0.35320418002083914
80.0,0.33597820891960667,0,-0.33597820891960667
80.5,0.319592358333577,0,-0.319592358333577
81.0,0.3040056550952665,0,-0.3040056550952665
81.5,0.28917912432093956,0,-0.28917912432093956
82.0,0.275075691985792,0,-0.275075691985792
82.5,0.2616600921929646,0,-0.2616600921929646
83.0,0.24889877893578138,0,-0.24889877893578138
83.5,0.23675984225099225,0,-0.23675984225099225
84.0,0.22521292847636373,0,-0.22521292847636373
84.5,0.21422916432500322,0,-0.21422916432500322
85.0,0.20378108469721298,0,-0.20378108469721298
85.5,0.19384256394307003,0,-0.19384256394307003
86.0,0.1843887505477531,0,-0.1843887505477531
86.5,0.17539600505623623,0,-0.17539600505623623
87.0,0.1668418409327714,0,-0.1668418409327714
87.5,0.15870486834130137,0,-0.15870486834130137
88.0,0.15096474059420417,0,-0.15096474059420417
88.5,0.14360210331745038,0,-0.14360210331745038
89.0,0.13659854608085087,0,-0.13659854608085087
89.5,0.12993655636720022,0,-0.12993655636720022
90.0,0.12359947575140154,0,-0.12359947575140154
90.5,0.11757145819506858,0,-0.11757145819506858
91.0,0.11183743050975695,0,-0.11183743050975695
91.5,0.10638305464719638,0,-0.10638305464719638
92.0,0.10119469185710579,0,-0.10119469185710579
92.5,0.09625936850909615,0,-0.09625936850909615
93.0,0.09156474370707685,0,-0.09156474370707685
93.5,0.08709907844678304,0,-0.08709907844678304
94.0,0.08285120627079205,0,-0.08285120627079205
94.5,0.07881050527152404,0,-0.07881050527152404
95.0,0.07496687157118655,0,-0.07496687157118655
95.5,0.07131069408816133,0,-0.07131069408816133
96.0,0.06783283050645054,0,-0.06783283050645054
96.5,0.06452458433338404,0,-0.06452458433338404
97.0,0.06137768321465221,0,-0.06137768321465221
97.5,0.058384258272440065,0,-0.058384258272440065
98.0,0.05553682440992697,0,-0.05553682440992697
98.5,0.05282826152390563,0,-0.05282826152390563
99.0,0.050251796794579744,0,-0.050251796794579744
99.5,0.04780098775162014,0,-0.04780098775162014
100.0,0.045469706074115226,0,-0.045469706074115226
