time,black,white,temperature,luminosity,albedo
477,484,415,23.08220724805914,1.0,0.4807222222222222
478,482,417,22.967324145225124,1.0,0.48183333333333334
479,485,413,22.96445993116357,1.0,0.47977777777777775
480,480,415,22.995452625138093,1.0,0.48138888888888887
481,479,419,22.8614720905251,1.0,0.48311111111111105
482,488,410,22.953828916381152,1.0,0.47811111111111104
483,497,400,23.441496440181762,1.0,0.47272222222222227
484,510,387,24.09282857365204,1.0,0.46549999999999997
485,514,383,24.608559063113105,1.0,0.4632777777777777
486,512,382,25.00684107342779,1.0,0.4632222222222222
487,518,380,25.328441769836754,1.0,0.4614444444444444
488,524,374,25.750265662728065,1.0,0.4581111111111111
489,520,373,26.113309731377672,1.0,0.45838888888888885
490,508,386,26.036493892696356,1.0,0.46544444444444427
491,512,382,26.03154320292637,1.0,0.4632222222222222
492,515,377,26.081029203493774,1.0,0.4607777777777777
493,521,373,26.184506531478558,1.0,0.45822222222222214
494,514,383,26.06805422453096,1.0,0.4632777777777777
495,508,390,25.864609943002293,1.0,0.46699999999999997
496,496,403,25.2629048256375,1.0,0.4740555555555555
497,490,408,24.77246907414467,1.0,0.4769999999999999
498,483,417,24.094144200059233,1.0,0.4816666666666667
499,483,417,23.671588752729413,1.0,0.4816666666666667
500,474,423,23.14955927852999,1.0,0.48550000000000004
501,476,423,22.867448809986737,1.0,0.48516666666666663
502,479,419,22.791211505860208,1.0,0.4831111111111111
503,480,418,22.860854803147877,1.0,0.4825555555555555
504,480,416,22.850198355806377,1.0,0.4817777777777777
505,488,410,23.09612248645981,1.0,0.47811111111111104
506,495,398,23.43711546790643,1.0,0.47227777777777774
507,495,397,23.80262509508221,1.0,0.4718888888888888
508,488,407,23.74099167261326,1.0,0.47694444444444445
509,482,415,23.479531635477393,1.0,0.48105555555555557
510,477,418,23.221989910588047,1.0,0.4830555555555555
511,478,419,23.041649444023832,1.0,0.4832777777777778
512,474,419,22.864979940232978,1.0,0.4839444444444444
513,476,420,22.78409121715304,1.0,0.48400000000000004
514,475,420,22.600429432978604,1.0,0.4841666666666667
515,488,407,22.89379161406983,1.0,0.47694444444444445
516,485,409,23.125893542296804,1.0,0.4782222222222222
517,483,416,23.127157794480755,1.0,0.48127777777777775
518,490,408,23.220233630869537,1.0,0.47700000000000004
519,495,403,23.525576413721726,1.0,0.4742222222222222
520,497,402,23.6987377005717,1.0,0.4735
521,509,391,24.170683487717746,1.0,0.4672222222222222
522,513,386,24.638599710252635,1.0,0.4646111111111111
523,514,380,25.031643123305447,1.0,0.46211111111111103
524,513,380,25.320452691204434,1.0,0.46227777777777773
525,509,382,25.559271025331807,1.0,0.46372222222222226
526,507,389,25.455548498339077,1.0,0.46677777777777774
527,501,394,25.21299524689637,1.0,0.4697222222222222
528,491,404,24.841459472373167,1.0,0.4752777777777777
529,484,409,24.45164951550574,1.0,0.4783888888888887
530,473,423,23.764995744455323,1.0,0.4856666666666666
531,469,429,23.073960551913455,1.0,0.4886666666666667
532,466,433,22.506956829675392,1.0,0.49072222222222217
533,473,422,22.471017568452186,1.0,0.48527777777777775
534,476,423,22.345576080013295,1.0,0.48516666666666663
535,483,416,22.447085899365973,1.0,0.48127777777777775
536,489,408,22.786300630830414,1.0,0.4771666666666666
537,494,403,23.14883361435715,1.0,0.4743888888888888
538,495,403,23.420092189898895,1.0,0.47422222222222216
539,496,399,23.74526867923508,1.0,0.4724999999999999
540,490,406,23.767725864883,1.0,0.47622222222222227
541,498,397,24.01122280532125,1.0,0.4713888888888889
542,507,389,24.420874395256156,1.0,0.46677777777777774
543,494,403,24.330460242660163,1.0,0.47438888888888886
544,491,408,24.076438296940673,1.0,0.47683333333333333
545,494,401,24.157264780808465,1.0,0.4736111111111111
546,493,403,24.108377593666894,1.0,0.47455555555555556
547,490,402,24.11629167275549,1.0,0.47466666666666657
548,489,408,23.97811376457855,1.0,0.47716666666666663
549,486,410,23.84103993114586,1.0,0.4784444444444444
550,488,408,23.719267812346835,1.0,0.4773333333333333
551,497,401,23.817148753162325,1.0,0.47311111111111115
552,502,395,24.096536719625437,1.0,0.46994444444444444
553,510,387,24.49526724354733,1.0,0.46549999999999997
554,513,385,24.86157379451217,1.0,0.46422222222222226
555,522,378,25.338933993138628,1.0,0.46
556,515,384,25.40987660567791,1.0,0.46349999999999997
557,510,388,25.411788127734955,1.0,0.4658888888888889
558,503,395,25.166045865175754,1.0,0.46977777777777774
559,501,395,24.967124746877865,1.0,0.47011111111111104
560,492,405,24.651003308254445,1.0,0.4754999999999999
561,483,415,24.064346745168287,1.0,0.48088888888888887
562,475,423,23.468941238247645,1.0,0.4853333333333333
563,474,423,22.99573190292038,1.0,0.48549999999999993
564,474,421,22.823134780354458,1.0,0.4847222222222221
565,477,419,22.765237421089363,1.0,0.4834444444444444
566,474,423,22.51313913654875,1.0,0.48549999999999993
567,469,427,22.29684233471265,1.0,0.48788888888888887
568,478,419,22.328108006853878,1.0,0.4832777777777777
569,485,412,22.588672157567178,1.0,0.4793888888888888
570,479,414,22.745662511861624,1.0,0.48116666666666663
571,481,413,22.93048846846456,1.0,0.4804444444444444
572,477,418,22.89886993726453,1.0,0.4830555555555555
573,481,414,22.913324777286878,1.0,0.4808333333333333
574,483,414,22.971047322376876,1.0,0.4804999999999999
575,495,404,23.255427119789594,1.0,0.4746111111111111
576,491,405,23.407175443829026,1.0,0.4756666666666667
577,488,410,23.441291552700523,1.0,0.4781111111111111
578,487,408,23.503481943331984,1.0,0.4775
579,489,410,23.40469672619201,1.0,0.4779444444444444
580,491,408,23.534438007293602,1.0,0.47683333333333333
581,495,405,23.64516395841419,1.0,0.475
582,505,395,23.94023428945153,1.0,0.46944444444444444
583,513,386,24.388588403797314,1.0,0.4646111111111111
584,510,386,24.78783643303475,1.0,0.46511111111111114
585,510,384,25.112327510888548,1.0,0.4643333333333334
586,513,381,25.410642218924938,1.0,0.4626666666666666
587,517,377,25.604790970464208,1.0,0.46044444444444443
588,512,381,25.738077321435206,1.0,0.46283333333333326
589,511,386,25.604309127583615,1.0,0.4649444444444445
590,506,393,25.37056589849844,1.0,0.46849999999999997
591,504,396,25.14381581107746,1.0,0.47
592,493,404,24.82358497871682,1.0,0.47494444444444445
593,488,410,24.385232115336652,1.0,0.4781111111111111
594,483,413,23.973550646149302,1.0,0.48011111111111116
595,482,417,23.612032781923432,1.0,0.48183333333333334
596,486,413,23.440992144411318,1.0,0.4796111111111111
597,497,403,23.575911723622724,1.0,0.4738888888888889
598,499,398,23.818943456827707,1.0,0.47161111111111104
599,503,393,24.157413110486477,1.0,0.469
600,489,410,23.93197372630784,1.0,0.4779444444444444
601,486,411,23.685042039048902,1.0,0.47883333333333333
602,485,411,23.554838583985255,1.0,0.479
603,481,417,23.352016666716217,1.0,0.48200000000000004
