experiment,replication,seed,N,S,repairers,failure_mean,repair_mean,crash_time,mean_queue,utilization,area_queue,area_busy,final_healthy,final_broken
3,152,713152,20,3,1,100.0,1.0,139.49364323267503,0.11111011879427667,0.3580421745379107,15.49915527062897,49.944607357242475,19,4
3,153,713153,20,3,1,100.0,1.0,522.9857846961403,0.03195754436111327,0.1689158969536615,16.713341414658537,88.34061291596302,19,4
3,154,713154,20,3,1,100.0,1.0,5474.599790401649,0.042294971888139424,0.2102373085614002,231.54804423385173,1150.9651253848483,19,4
3,155,713155,20,3,1,100.0,1.0,144.81627533153534,0.03329219540839104,0.16345137999394843,4.821251736652833,23.67042004852304,19,4
3,156,713156,20,3,1,100.0,1.0,1669.4455893222646,0.03329777260844681,0.17827813954801652,55.58881961542724,297.62565374101536,19,4
3,157,713157,20,3,1,100.0,1.0,390.5658270635651,0.017066548593350706,0.16235070025910958,6.665610666482543,63.40863552104808,19,4
3,158,713158,20,3,1,100.0,1.0,183.36215106278235,0.04368324743826801,0.14065671301555208,8.009854215688598,25.791117459952083,19,4
3,159,713159,20,3,1,100.0,1.0,359.7711078946853,0.057468536803673,0.1886967569196725,20.67551915494393,67.8876412931247,19,4
3,160,713160,20,3,1,100.0,1.0,2570.8161030491933,0.040530198526831,0.19710958222861935,104.19568703255783,506.73248805863375,19,4
3,161,713161,20,3,1,100.0,1.0,1140.7271611761082,0.024437814414635377,0.1618115182372128,27.87687866255559,184.5827938443318,19,4
3,162,713162,20,3,1,100.0,1.0,840.4049675726105,0.05246580702225796,0.21032936925753187,44.09252484921154,176.7618467504437,19,4
3,163,713163,20,3,1,100.0,1.0,1039.6985890158442,0.017957170908863403,0.15857497027126213,18.670045256661645,164.87017284426068,19,4
3,164,713164,20,3,1,100.0,1.0,538.1310126587174,0.05603712596546052,0.2084524642763048,30.155315342277376,112.174735692213,19,4
3,165,713165,20,3,1,100.0,1.0,1379.9980286729606,0.045600191627554326,0.19945702217714065,62.92817455313421,275.2502974094331,19,4
3,166,713166,20,3,1,100.0,1.0,2247.308059962658,0.043574985402389244,0.18424291971879278,97.92641590754451,414.0505984750959,19,4
3,167,713167,20,3,1,100.0,1.0,865.0553255536852,0.0581577773725046,0.20111374262914403,50.30969503845071,173.97451410337425,19,4
3,168,713168,20,3,1,100.0,1.0,314.2992847592281,0.04123822160361027,0.18119132207941616,12.961143554757257,56.948302934139434,19,4
3,169,713169,20,3,1,100.0,1.0,1003.9092282741049,0.03064901225939206,0.18730373222345154,30.768826244689862,188.03594526930482,19,4
3,170,713170,20,3,1,100.0,1.0,30.060677027220727,0.2841333131045937,0.3567101480839903,8.541239757911374,10.722948553884912,19,4
3,171,713171,20,3,1,100.0,1.0,887.1883796394181,0.04280449615808533,0.1891893940286539,37.97565158777342,167.84663193324485,19,4
3,172,713172,20,3,1,100.0,1.0,3085.0132846333413,0.03901169411518458,0.1877984155924555,120.35159460139676,579.3606069358184,19,4
3,173,713173,20,3,1,100.0,1.0,2768.828553394507,0.05142124325942622,0.20254981061687027,142.37660658774413,560.8256991206403,19,4
3,174,713174,20,3,1,100.0,1.0,1804.8971695461084,0.04223362044977591,0.19400511056147593,76.22734200948518,350.1592749298877,19,4
3,175,713175,20,3,1,100.0,1.0,3167.4937936043607,0.04297579407615488,0.19115267146743917,136.12556101143963,605.4749005040069,19,4
3,176,713176,20,3,1,100.0,1.0,427.51009725866317,0.0224708774339344,0.16083209149450786,9.606526997268794,68.75734307713127,19,4
3,177,713177,20,3,1,100.0,1.0,945.9536331033387,0.03198124173769773,0.16670182946486767,30.2527718129313,157.69220122726477,19,4
3,178,713178,20,3,1,100.0,1.0,806.0142108179809,0.06697102867126714,0.2237853015878945,53.97960082213976,180.37413325203065,19,4
3,179,713179,20,3,1,100.0,1.0,44.78286515554742,0.06378692284781967,0.25735029797310466,2.8565611645812155,11.524883691869494,19,4
3,180,713180,20,3,1,100.0,1.0,650.4409560585882,0.029661355615303857,0.1664939570047206,19.292960504412015,108.29448857212795,19,4
3,181,713181,20,3,1,100.0,1.0,122.10276075938765,0.015137269020459719,0.2018694152049957,1.8483023377556833,24.64881290941308,19,4
3,182,713182,20,3,1,100.0,1.0,1111.3340543601776,0.02236320407655891,0.20844207048698324,24.852990254886265,231.648771293529,19,4
3,183,713183,20,3,1,100.0,1.0,1397.6299560485133,0.05016111475422155,0.218915094887267,70.1066766092871,305.9622944456471,19,4
3,184,713184,20,3,1,100.0,1.0,4435.150947171096,0.03782988456108293,0.18909245155897694,167.78124834246017,838.6535656347012,19,4
3,185,713185,20,3,1,100.0,1.0,705.6869953918866,0.0620736696411962,0.19976958008722376,43.804581422044315,140.9747947424518,19,4
3,186,713186,20,3,1,100.0,1.0,691.2233380761498,0.04478980147064655,0.20855694171952155,30.959756084308353,144.15942543432072,19,4
3,187,713187,20,3,1,100.0,1.0,1365.2405625407498,0.03979487871960641,0.1924424523260096,54.32958260939637,262.7302418702828,19,4
3,188,713188,20,3,1,100.0,1.0,911.5777254476428,0.05177262758846683,0.22680481331429497,47.19477409754248,206.75021584162226,19,4
3,189,713189,20,3,1,100.0,1.0,546.8673235267935,0.06525073369793907,0.22276663986420947,35.683494095551495,121.82379611359733,19,4
3,190,713190,20,3,1,100.0,1.0,2550.716698905888,0.053949297361690074,0.21344763832061206,137.60937367470223,544.4444554064095,19,4
3,191,713191,20,3,1,100.0,1.0,1118.5924896067927,0.046180989024662486,0.2147270882548997,51.65770748560118,240.19210823706575,19,4
3,192,713192,20,3,1,100.0,1.0,348.6782208130652,0.035948924874259346,0.18905854940785735,12.534607165299292,65.92059863703068,19,4
3,193,713193,20,3,1,100.0,1.0,2424.6204451292137,0.04320896641526734,0.21195757910057686,104.76534338335875,513.9166797873512,19,4
3,194,713194,20,3,1,100.0,1.0,222.98304771186278,0.03456361070468025,0.21047356498246111,7.707099254855969,46.932036982569976,19,4
3,195,713195,20,3,1,100.0,1.0,282.996285497974,0.058579841237828605,0.2098583290231694,16.577877475366535,59.3891275943686,19,4
3,196,713196,20,3,1,100.0,1.0,375.3612022279126,0.041298569114204556,0.17099488643634767,15.501880553000362,64.18484614757284,19,4
3,197,713197,20,3,1,100.0,1.0,922.1025520661343,0.024218973452147945,0.16671995642008888,22.332377228647577,153.73289729531865,19,4
3,198,713198,20,3,1,100.0,1.0,2110.576698246601,0.041858216018222955,0.21270905618857072,88.344975358234,448.93877749762436,19,4
3,199,713199,20,3,1,100.0,1.0,2566.300985258112,0.043468477743952814,0.20643063951349477,111.55319726197644,529.7631535709438,19,4
3,200,713200,20,3,1,100.0,1.0,327.19157014778716,0.037311395610454295,0.15649172479762383,12.207974114189796,51.20277315166994,19,4
4,1,714001,5,3,2,100.0,1.0,407533.78101411596,4.1383924709316355e-5,0.025086569806070606,16.865347309991193,20447.249291485023,4,4
4,2,714002,5,3,2,100.0,1.0,341134.36582780955,2.6967103534883105e-5,0.025206498721672105,9.19940576258523,17197.60591231421,4,4
4,3,714003,5,3,2,100.0,1.0,454804.48556843627,2.4417772629031832e-5,0.025178359996953927,11.105312519273866,22902.46213174305,4,4
4,4,714004,5,3,2,100.0,1.0,10170.576731545903,1.342931574105961e-5,0.024869258824494554,0.136583886196604,505.8694102623939,4,4
4,5,714005,5,3,2,100.0,1.0,1.2160971776019027e6,2.9383474141732088e-5,0.02511521911838146,35.733159971898885,61085.09416943408,4,4
4,6,714006,5,3,2,100.0,1.0,1.208127984983191e6,3.625603634922243e-5,0.025107787610698006,43.80193213806342,60666.84170699702,4,4
4,7,714007,5,3,2,100.0,1.0,218334.95143070054,5.5490297697514534e-5,0.025069384341102056,12.11547145266195,10947.045625024164,4,4
4,8,714008,5,3,2,100.0,1.0,452600.82209369476,1.968371707120491e-5,0.025162992092938957,8.908866528287035,22777.581815202626,4,4
4,9,714009,5,3,2,100.0,1.0,467946.7595423944,4.0545785786622286e-5,0.024976608245303032,18.97326907194997,23375.445785498807,4,4
4,10,714010,5,3,2,100.0,1.0,775456.9143784354,2.8762160448313615e-5,0.025078590603327986,22.30381619210675,38894.732972433485,4,4
4,11,714011,5,3,2,100.0,1.0,40502.915528305806,6.854949295715297e-5,0.024404581656969307,2.7764543227517606,1976.9134187117384,4,4
4,12,714012,5,3,2,100.0,1.0,577918.6581146298,3.424535441860354e-5,0.02513214995212136,19.791029272259266,29048.67675173127,4,4
4,13,714013,5,3,2,100.0,1.0,827626.1416915018,2.5043970848546847e-5,0.02510836748535932,20.727044966017274,41560.682612160585,4,4
4,14,714014,5,3,2,100.0,1.0,1.0012668386671236e6,3.397471431571124e-5,0.024874837121004592,34.01775479751086,49812.699053015764,4,4
4,15,714015,5,3,2,100.0,1.0,545721.4833202634,4.7289976465799644e-5,0.025160264896733404,25.80715610309653,27460.994160352217,4,4
4,16,714016,5,3,2,100.0,1.0,28597.51620325603,7.48353039580956e-5,0.024812093889208693,2.140103817517229,1419.128514066711,4,4
4,17,714017,5,3,2,100.0,1.0,843129.9054673294,3.19222905268475e-5,0.0249739542145498,26.914637794201553,42112.57531211757,4,4
4,18,714018,5,3,2,100.0,1.0,63501.651275227865,1.635085646926334e-5,0.02532325553381234,1.0383063855624641,3216.137084123271,4,4
4,19,714019,5,3,2,100.0,1.0,504887.62579163804,2.2781128045048388e-5,0.025340161876258146,11.501909651519782,25587.86833375951,4,4
4,20,714020,5,3,2,100.0,1.0,148076.67378843494,2.0457192188281756e-5,0.02513867373402611,3.029232974291517,7444.902379974565,4,4
4,21,714021,5,3,2,100.0,1.0,23527.867995666926,8.243264685790764e-5,0.0249243829456808,1.939464433806279,1172.8351836388597,4,4
4,22,714022,5,3,2,100.0,1.0,174225.83743937226,3.704262256626571e-5,0.02436445066459059,6.453781937558233,8489.833641577132,4,4
4,23,714023,5,3,2,100.0,1.0,250332.39468014456,1.0284259008773368e-5,0.024982672361482154,2.574483185177087,12507.94439551858,4,4
4,24,714024,5,3,2,100.0,1.0,8102.333637736183,0.0001598360502074203,0.02451596425777534,1.295045006118471,397.2730437346222,4,4
4,25,714025,5,3,2,100.0,1.0,705024.9373040788,3.2256048333090525e-5,0.02462251176585005,22.741318453714484,34718.96962797475,4,4
4,26,714026,5,3,2,100.0,1.0,178005.13964693985,2.247555202216938e-5,0.024963542868365024,4.000763776348322,8887.277868731371,4,4
4,27,714027,5,3,2,100.0,1.0,191989.99429170173,2.6194094041873606e-5,0.025723637464018147,5.029003965575612,9877.362019757298,4,4
4,28,714028,5,3,2,100.0,1.0,1.685085894714173e6,3.234257720920707e-5,0.025111629774033053,54.50002065393892,84630.5062510151,4,4
4,29,714029,5,3,2,100.0,1.0,890197.9334028546,3.324513339500506e-5,0.024885386170499988,29.594749043935735,44305.83868182213,4,4
4,30,714030,5,3,2,100.0,1.0,265071.3083876505,2.3566171421993846e-5,0.025084716963626925,6.246715892515567,13298.477492164962,4,4
4,31,714031,5,3,2,100.0,1.0,901579.8566319889,4.007951580188826e-5,0.02510329601655311,36.134884110545954,45265.25204718866,4,4
4,32,714032,5,3,2,100.0,1.0,953325.4538068603,2.560146502741703e-5,0.025081403958309493,24.406528265382804,47821.48162133716,4,4
4,33,714033,5,3,2,100.0,1.0,1.0279724110784827e6,2.032603928576767e-5,0.025184187811592405,20.894607612266554,51777.30053147196,4,4
