experiment,λ,c,time,queue,busy
4,0.3,2,6724.105723488478,0,1
4,0.3,2,6790.681027681433,0,2
4,0.3,2,6857.256331874389,0,1
4,0.3,2,6923.831636067343,1,2
4,0.3,2,6990.406940260299,0,0
4,0.3,2,7056.982244453254,0,2
4,0.3,2,7123.557548646209,0,0
4,0.3,2,7190.132852839164,0,1
4,0.3,2,7256.70815703212,0,1
4,0.3,2,7323.283461225075,0,0
4,0.3,2,7389.85876541803,0,0
4,0.3,2,7456.434069610986,0,1
4,0.3,2,7523.00937380394,0,0
4,0.3,2,7589.584677996896,0,1
4,0.3,2,7656.159982189851,0,0
4,0.3,2,7722.735286382806,0,0
4,0.3,2,7789.310590575762,0,1
4,0.3,2,7855.885894768717,0,0
4,0.3,2,7922.461198961672,0,0
4,0.3,2,7989.036503154627,0,0
4,0.3,2,8055.611807347583,0,0
4,0.3,2,8122.187111540537,0,0
4,0.3,2,8188.762415733493,0,2
4,0.3,2,8255.337719926449,0,0
4,0.3,2,8321.913024119403,0,0
4,0.3,2,8388.488328312358,0,1
4,0.3,2,8455.063632505315,0,1
4,0.3,2,8521.63893669827,0,0
4,0.3,2,8588.214240891224,0,1
4,0.3,2,8654.789545084179,0,0
4,0.3,2,8721.364849277135,0,2
4,0.3,2,8787.94015347009,0,1
4,0.3,2,8854.515457663045,0,1
4,0.3,2,8921.090761856001,0,2
4,0.3,2,8987.666066048956,0,1
4,0.3,2,9054.24137024191,0,1
4,0.3,2,9120.816674434865,0,0
4,0.3,2,9187.391978627822,0,0
4,0.3,2,9253.967282820777,0,1
4,0.3,2,9320.542587013731,0,0
4,0.3,2,9387.117891206686,0,0
4,0.3,2,9453.693195399643,0,1
4,0.3,2,9520.268499592597,0,0
4,0.3,2,9586.843803785552,0,1
4,0.3,2,9653.419107978509,0,1
4,0.3,2,9719.994412171463,0,0
4,0.3,2,9786.569716364418,0,0
4,0.3,2,9853.145020557373,0,0
4,0.3,2,9919.72032475033,0,0
4,0.3,2,9986.295628943284,0,0
4,0.3,2,10052.870933136239,0,0
4,0.3,2,10119.446237329195,0,1
4,0.3,2,10186.02154152215,0,0
4,0.3,2,10252.596845715105,0,0
4,0.3,2,10319.17214990806,0,1
4,0.3,2,10385.747454101016,0,2
4,0.3,2,10452.32275829397,0,0
4,0.3,2,10518.898062486925,0,0
4,0.3,2,10585.473366679882,0,1
4,0.3,2,10652.048670872837,0,1
4,0.3,2,10718.623975065791,0,0
4,0.3,2,10785.199279258746,0,1
4,0.3,2,10851.774583451703,0,0
4,0.3,2,10918.349887644657,0,0
4,0.3,2,10984.925191837612,0,1
4,0.3,2,11051.500496030567,0,0
4,0.3,2,11118.075800223523,0,1
4,0.3,2,11184.651104416478,0,1
4,0.3,2,11251.226408609433,0,0
4,0.3,2,11317.80171280239,0,1
4,0.3,2,11384.377016995344,0,1
4,0.3,2,11450.952321188299,0,0
4,0.3,2,11517.527625381254,0,1
4,0.3,2,11584.10292957421,0,0
4,0.3,2,11650.678233767165,0,0
4,0.3,2,11717.25353796012,0,2
4,0.3,2,11783.828842153076,0,0
4,0.3,2,11850.40414634603,0,0
4,0.3,2,11916.979450538985,0,0
4,0.3,2,11983.55475473194,0,0
4,0.3,2,12050.130058924897,0,2
4,0.3,2,12116.705363117851,0,0
4,0.3,2,12183.280667310806,0,1
4,0.3,2,12249.855971503763,0,0
4,0.3,2,12316.431275696717,0,1
4,0.3,2,12383.006579889672,0,0
4,0.3,2,12449.581884082627,0,0
4,0.3,2,12516.157188275583,0,0
4,0.3,2,12582.732492468538,1,2
4,0.3,2,12649.307796661493,0,0
4,0.3,2,12715.883100854448,0,1
4,0.3,2,12782.458405047404,0,0
4,0.3,2,12849.033709240359,0,0
4,0.3,2,12915.609013433314,0,0
4,0.3,2,12982.18431762627,0,0
4,0.3,2,13048.759621819225,0,1
4,0.3,2,13115.33492601218,0,0
4,0.3,2,13181.910230205134,0,0
4,0.3,2,13248.48553439809,0,1
4,0.3,2,13315.060838591045,0,0
4,0.3,2,13381.636142784,0,1
4,0.3,2,13448.211446976957,0,1
4,0.3,2,13514.786751169911,0,0
4,0.3,2,13581.362055362866,0,0
4,0.3,2,13647.93735955582,0,0
4,0.3,2,13714.512663748777,0,0
4,0.3,2,13781.087967941732,0,0
4,0.3,2,13847.663272134687,0,0
4,0.3,2,13914.238576327643,0,1
4,0.3,2,13980.813880520598,0,2
4,0.3,2,14047.389184713553,0,0
4,0.3,2,14113.964488906508,1,2
4,0.3,2,14180.539793099464,0,1
4,0.3,2,14247.115097292419,0,1
4,0.3,2,14313.690401485374,0,0
4,0.3,2,14380.265705678328,0,0
4,0.3,2,14446.841009871285,0,2
4,0.3,2,14513.41631406424,0,1
4,0.3,2,14579.991618257194,0,0
4,0.3,2,14646.56692245015,0,1
4,0.3,2,14713.142226643105,0,0
4,0.3,2,14779.71753083606,0,0
4,0.3,2,14846.292835029015,0,1
4,0.3,2,14912.868139221971,0,1
4,0.3,2,14979.443443414926,0,1
4,0.3,2,15046.01874760788,0,1
4,0.3,2,15112.594051800837,0,2
4,0.3,2,15179.169355993792,1,2
4,0.3,2,15245.744660186747,0,0
4,0.3,2,15312.319964379702,0,1
4,0.3,2,15378.895268572658,0,2
4,0.3,2,15445.470572765613,0,2
4,0.3,2,15512.045876958568,0,1
4,0.3,2,15578.621181151524,0,0
4,0.3,2,15645.196485344479,0,0
4,0.3,2,15711.771789537434,0,0
