t,S,I,R
2.87,969.6638262251564,19.968800224803257,10.367373550039447
2.88,969.5668049441164,20.015840725691618,10.417354330191124
2.89,969.4695648756383,20.0629822864764,10.467452837884466
2.9,969.3721055967735,20.110225077243825,10.517669325981805
2.91,969.2744266840939,20.15756926813446,10.568004047770767
2.92,969.1765277136928,20.20501502934189,10.618457256964387
2.93,969.0784082611865,20.252562531111412,10.669029207701257
2.94,968.9800679017148,20.30021194373866,10.719720154545639
2.95,968.8815062099433,20.3479634375683,10.7705303524876
2.96,968.7827227600634,20.39581718299264,10.821460056943124
2.97,968.6837171257946,20.443773350450304,10.872509523754239
2.98,968.5844888803852,20.49183211042483,10.92367900918912
2.99,968.4850375966136,20.539993633443327,10.974968769942214
3.0,968.3853628467897,20.588258090075055,11.026379063134328
3.01,968.2854642027562,20.636625650930068,11.077910146312753
3.02,968.1853412358898,20.685096486657788,11.129562277451353
3.03,968.0849935171027,20.733670767945608,11.181335714950656
3.04,967.9844206168435,20.78234866551748,11.233230717637964
3.05,967.8836221050991,20.831130350132472,11.285247544767426
3.06,967.7825975513955,20.880015992583367,11.337386456020138
3.07,967.6813465247996,20.92900576369519,11.389647711504209
3.08,967.5798685939203,20.978099834323785,11.442031571754859
3.09,967.4781633269101,21.02729837535434,11.494538297734476
3.1,967.3762302914663,21.076601557699945,11.547168150832706
3.11,967.2740690548324,21.126009552300086,11.5999213928665
3.12,967.1716791837995,21.175522530119206,11.652798286080202
3.13,967.0690602447081,21.22514066214518,11.705799093145583
3.14,966.9662118034491,21.27486411938784,11.758924077161923
3.15,966.8631334254654,21.324693072877455,11.812173501656043
3.16,966.7598246757533,21.37462769366324,11.865547630582371
3.17,966.6562851188642,21.4246681528118,11.919046728322975
3.18,966.5525143189057,21.47481462140564,11.972671059687615
3.19,966.4485118395436,21.525067270541587,12.02642088991377
3.2,966.344277244003,21.575426271329277,12.08029648466668
3.21,966.2398100950701,21.62589179488958,12.134298110039374
3.22,966.1351099550933,21.67646401235304,12.188426032552696
3.23,966.0301763859854,21.72714309485831,12.242680519155323
3.24,965.9250089492247,21.777929213550564,12.297061837223792
3.25,965.8196072058566,21.828822539579917,12.351570254562505
3.26,965.7139707164955,21.879823244099818,12.406206039403747
3.27,965.6080990413259,21.93093149826545,12.460969460407691
3.28,965.5019917401045,21.98214747323212,12.51586078666239
3.29,965.3956483721615,22.03347134015363,12.570880287683796
3.3,965.2890684964026,22.084903270180636,12.626028233415727
3.31,965.18225167131,22.13644343445904,12.68130489422989
3.32,965.0751974549448,22.188092004128304,12.73671054092583
3.33,964.9679054049482,22.239849150319824,12.792245444730948
3.34,964.8603750785433,22.29171504415524,12.847909877300449
3.35,964.7526060325368,22.34368985674478,12.903704110717335
3.36,964.6445978233211,22.39577375918557,12.959628417492363
3.37,964.5363500068751,22.447966922559942,13.015683070564021
3.38,964.4278621387668,22.500269517933727,13.071868343298476
3.39,964.3191337741549,22.552681716354563,13.128184509489545
3.4,964.2101644677903,22.60520368885016,13.184631843358627
3.41,964.1009537740177,22.657835606426588,13.241210619554678
3.42,963.9915012467784,22.710577640066525,13.297921113154128
3.43,963.8818064396107,22.76342996072753,13.354763599660844
3.44,963.7718689056528,22.81639273934028,13.411738355006042
3.45,963.6616881976441,22.869466146806808,13.46884565554824
3.46,963.5512638679273,22.92265035399873,13.526085778073163
3.47,963.44059546845,22.97594553175548,13.583458999793686
3.48,963.329682550767,23.029351850882502,13.640965598349732
3.49,963.2185246660415,23.082869482149462,13.6986058518082
3.5,963.1071213650479,23.13649859628844,13.756380038662856
3.51,962.9954721981728,23.190239363992116,13.814288437834259
3.52,962.8835767154176,23.244091955911948,13.872331328669645
