time,cwnd_first,cwnd_mean,queue,average_queue,drop_probability,throughput_mbps
24.044,40.43442933426453,28.273231035165594,92.05570285301332,42.45369879373547,0.0,20.0
24.046,40.44909089336912,28.287892594270176,92.41894405050633,42.55362928424901,0.0,20.0
24.048,40.46374464834937,28.302546349250434,92.78204022511098,42.654086106130734,0.0,20.0
24.05,40.478390610619705,28.31719231152077,93.14499087474991,42.75506791566797,0.0,20.0
24.052,40.493028791582134,28.331830492483192,93.50779550984696,42.85657337085633,0.0,20.0
24.054,40.50765920262601,28.346460903527067,93.87045365310549,42.958601131420835,0.0,20.0
24.056,40.52228185512778,28.361083556028838,94.23296483929056,43.06114985883657,0.0,20.0
24.058,40.53689676045078,28.375698461351835,94.59532861501502,43.16421821634893,0.0,20.0
24.06,40.55150392994496,28.390305630846015,94.95754453852925,43.267804868993295,0.0,20.0
24.062,40.56610337494667,28.40490507584773,95.31961217951464,43.37190848361434,0.0,20.0
24.064,40.58069510677848,28.419496807679533,95.68153111888071,43.476527728884875,0.0,20.0
24.066,40.59527913674889,28.434080837649947,96.04330094856579,43.58166127532424,0.0,20.0
24.068,40.60985547615221,28.44865717705327,96.40492127134105,43.687307795316265,0.0,20.0
24.07,40.62442413626828,28.46322583716934,96.76639170061821,43.79346596312687,0.0,20.0
24.072,40.638985128362314,28.47778682926337,97.12771186026039,43.90013445492114,0.0,20.0
24.074,40.65353846368469,28.492340164585745,97.48888138439641,44.007311948780085,0.0,20.0
24.076,40.66808415347077,28.50688585437183,97.84989991723825,44.11499712471701,0.0,20.0
24.078,40.68262220894073,28.521423909841793,98.21076711290178,44.22318866469338,0.0,20.0
24.08,40.69715264129934,28.535954342200395,98.57148263523057,44.33188525263445,0.0,20.0
24.082,40.71167546173583,28.550477162636884,98.93204615762278,44.44108557444442,0.0,20.0
24.084,40.72619068142371,28.564992382324768,99.29245736286113,44.550788318021254,0.0,20.0
24.086,40.7406983115206,28.57950001242166,99.65271594294575,44.660992173271104,0.0,20.0
24.088,40.755198363168084,28.59400006406915,100.01282159893,44.771695832122425,0.0,20.0
24.09,40.76969084749153,28.608492548392597,100.3727740407592,44.8828979885397,0.0,20.0
24.092,40.78417577559996,28.622977476501024,100.73257298711205,44.99459733853685,0.0,20.0
24.094,40.79865315858591,28.63745485948697,101.09221816524493,45.106792580190266,0.0,20.0
24.096,40.81312300752524,28.6519247084263,101.4517093108389,45.21948241365157,0.0,20.0
24.098,40.82758533347707,28.666387034378126,101.81104616784924,45.33266554115996,0.0,20.0
24.1,40.84204014748357,28.68084184838463,102.17022848835782,45.44634066705436,0.0,20.0
24.102,40.856487460569895,28.69528916147095,102.52925603242787,45.560506497785106,0.0,20.0
24.104,40.870927283743995,28.709728984645054,102.88812856796133,45.67516174192546,0.0,20.0
24.106,40.88535962799655,28.72416132889761,103.24684587055872,45.79030511018272,0.0,20.0
24.108,40.89978450430081,28.73858620520187,103.60540772338138,45.90593531540912,0.0,20.0
24.11,40.914201923612495,28.75300362451355,103.96381391701618,46.02205107261233,0.0,20.0
24.112,40.92861189686968,28.767413597770737,104.32206424934252,46.13865109896579,0.0,20.0
24.114,40.9430144349927,28.781816135893745,104.68015852540165,46.25573411381866,0.0,20.0
24.116,40.957409548884,28.796211249785053,105.03809655726835,46.373298838705566,0.0,20.0
24.118,40.97179724942809,28.810598950329144,105.39587816392462,46.491343997356005,0.0,20.0
24.12,40.98617754749141,28.82497924839246,105.75350317113586,46.609868315703565,0.0,20.0
24.122,41.00055045392224,28.83935215482329,106.11097141132893,46.72887052189482,0.0,20.0
24.124,41.01491597955061,28.853717680451656,106.46828272347253,46.84834934629797,0.0,20.0
24.126,41.02927413518822,28.868075836089265,106.82543695295946,46.968303521511295,0.0,20.0
24.128,41.04362493162832,28.882426632529377,107.18243395149113,47.088731782371255,0.0,20.0
24.13,41.057968379645686,28.896770080546734,107.5392735769639,47.209632865960444,0.0,20.0
24.132,41.07230448999646,28.91110619089751,107.89595569335744,47.33100551161524,0.0,20.0
24.134,41.086633273418144,28.925434974319195,108.25248017062512,47.452848460933254,0.0,20.0
24.136,41.10095474062948,28.93975644153054,108.60884688458616,47.57516045778056,0.0,20.0
24.138,41.115268902330406,28.954070603231454,108.96505571681969,47.697940248298636,0.0,20.0
24.14,41.12957576920195,28.968377470102997,109.3211065545607,47.82118658091116,0.0,20.0
24.142,41.143875351906196,28.982677052807233,109.67699929059772,47.944898206330535,0.0,20.0
24.144,41.1581676610862,28.996969361987247,110.03273382317231,48.069073877564215,0.0,20.0
24.146,41.17245270736595,29.011254408266993,110.38831005588025,48.19371234992085,0.0,20.0
24.148,41.18673050135026,29.025532202251306,110.7437278975745,48.31881238101616,0.0,20.0
24.15,41.20100105362477,29.039802754525823,111.09898726226976,48.44437273077867,0.0,20.0
24.152,41.215264374755854,29.054066075656905,111.45408806904874,48.57039216145521,0.0,20.0
24.154,41.22952047529057,29.068322176191618,111.80903024197,48.69686943761624,0.0,20.0
24.156,41.24376936575662,29.08257106665767,112.16381370997748,48.82380332616096,0.0,20.0
24.158,41.25801105666228,29.09681275756333,112.51843840681138,48.951192596322265,0.0,20.0
24.16,41.272245558496394,29.11104725939744,112.87290427092087,49.07903601967146,0.0,20.0
24.162,41.28647288172829,29.12527458262933,113.22721124537804,49.20733237012288,0.0,20.0
24.164,41.300693036807736,29.139494737708784,113.5813592777935,49.33608042393822,0.0,20.0
24.166,41.31490603416495,29.153707735065996,113.93534832023333,49.46527895973081,0.0,20.0
24.168,41.3291118842105,29.167913585111545,114.28917832913758,49.594926758469626,0.0,20.0
24.17,41.343310597335304,29.18211229823635,114.64284926524006,49.72502260348317,0.0,20.0
24.172,41.35750218391058,29.196303884811638,114.99636109348955,49.85556528046318,0.0,20.0
24.174,41.371686654287835,29.21048835518889,115.34971378297242,49.9865535774682,0.0,20.0
24.176,41.38586401879879,29.224665719699846,115.70290730683645,50.117986284926936,0.0,20.0
24.178,41.4000342877554,29.23883598865645,116.05594164221615,50.24986219564151,0.0,20.0
24.18,41.4141974714498,29.25299917235086,116.4088167701592,50.38218010479055,0.0,20.0
24.182,41.42835358015428,29.26715528105533,116.76153267555424,50.514938809932076,0.0,20.0
24.184,41.44250262412127,29.28130432502231,117.11408934705983,50.64813711100633,0.0,20.0
24.186,41.4566446135833,29.29544631448435,117.46648677703479,50.78177381033838,0.0,20.0
24.188,41.47077955875301,29.309581259654056,117.81872496146948,50.91584771264064,0.0,20.0
24.19,41.4849074698231,29.323709170724147,118.17080389991858,51.050357625015195,0.0,20.0
