time,prey,predator,invariant
92.7,20.82052102655859,2.6140885385476103,-0.7463862939662868
92.8,20.92060895463427,2.590331676359356,-0.7463862939657122
92.9,21.02216684317662,2.5670495219476615,-0.7463862939660549
93.0,21.125191460088473,2.5442368702636813,-0.7463862939667124
93.1,21.229679688778642,2.521888597299348,-0.7463862939661738
93.2,21.335628520365216,2.499999662144913,-0.7463862939656488
93.3,21.443035049526824,2.4785651078970186,-0.7463862939663463
93.4,21.55189646506489,2.457580063636544,-0.7463862939668369
93.5,21.662210040409164,2.4370397465306946,-0.7463862939660658
93.6,21.77397312854981,2.416939462948749,-0.7463862939656387
93.7,21.887183155434098,2.3972746095931536,-0.7463862939665541
93.8,22.00183761117653,2.3780406750083753,-0.7463862939668788
93.9,22.11793403984065,2.3592332415022286,-0.7463862939658965
94.0,22.235470036222484,2.3408479857114095,-0.7463862939657021
94.1,22.35444323708401,2.322880679808317,-0.7463862939666948
94.2,22.47485131234758,2.305327192795255,-0.7463862939667704
94.3,22.596691955515176,2.2881834920396793,-0.7463862939656636
94.4,22.71996288066997,2.2714456436730726,-0.7463862939658361
94.5,22.844661812055904,2.2551098137690784,-0.7463862939667665
94.6,22.970786474914934,2.2391722695623084,-0.746386293966459
94.7,23.09833458739085,2.223629380566874,-0.7463862939654748
94.8,23.22730385607552,2.2084776190375277,-0.746386293966075
94.9,23.357691964921834,2.1937135610538356,-0.7463862939666918
95.0,23.489496565158312,2.179333887782031,-0.7463862939659663
95.1,23.62271526951808,2.1653353861682976,-0.7463862939655221
95.2,23.757345644338862,2.1517149496410934,-0.7463862939663497
95.3,23.893385199003962,2.1384695791171313,-0.7463862939663319
95.4,24.030831375131307,2.1255963842664096,-0.7463862939655141
95.5,24.169681542364728,2.1130925839293715,-0.7463862939658898
95.6,24.30993298682073,2.1009555070786043,-0.7463862939663612
95.7,24.45158290004739,2.0891825939812265,-0.7463862939657272
95.8,24.594628371030716,2.0777713970751996,-0.7463862939655173
95.9,24.739066378312373,2.066719581632827,-0.7463862939662659
96.0,24.884893777807747,2.056024926849576,-0.7463862939658342
96.1,25.0321072911815,2.0456853271260638,-0.7463862939654271
96.2,25.180703500123037,2.0356987926078953,-0.7463862939661214
96.3,25.330678833219963,2.0260634503083037,-0.7463862939659022
96.4,25.482029553329998,2.016777545466323,-0.7463862939653825
96.5,25.634751750075274,2.0078394423352997,-0.746386293965953
96.6,25.78884132801044,1.9992476252233518,-0.7463862939659653
96.7,25.94429399264379,1.9910006999394108,-0.7463862939652958
96.8,26.101105240684987,1.9830973948765596,-0.7463862939658197
96.9,26.2592703492873,1.975536562010339,-0.7463862939660038
97.0,26.418784360837105,1.9683171784647526,-0.7463862939652046
97.1,26.57964207137661,1.9614383478409887,-0.7463862939657712
97.2,26.741838019941245,1.9548993012668932,-0.7463862939659893
97.3,26.905366472249302,1.9486993991195878,-0.7463862939651281
97.4,27.07022140788885,1.942838132535951,-0.7463862939658303
97.5,27.23639650887968,1.937315124597106,-0.7463862939658856
97.6,27.403885142163247,1.932130132258321,-0.7463862939651021
97.7,27.57268034617837,1.9272830479723695,-0.7463862939660049
97.8,27.74277481785305,1.9227739010942206,-0.7463862939656457
97.9,27.91416089378448,1.918602860062207,-0.7463862939652016
98.0,28.086830536787854,1.914770234059406,-0.7463862939662306
98.1,28.260775320367035,1.9112764747575763,-0.7463862939652682
98.2,28.435986408909546,1.9081221787336584,-0.7463862939654338
98.3,28.612454544260494,1.9053080891435075,-0.7463862939662844
98.4,28.790170026870026,1.9028350979310433,-0.7463862939649302
98.5,28.969122695954017,1.9007042483649736,-0.7463862939656707
98.6,29.149301914862956,1.8989167368521263,-0.7463862939658827
98.7,29.33069654916456,1.8974739156367213,-0.7463862939650321
98.8,29.513294947667713,1.8963772953010656,-0.7463862939662499
98.9,29.69708492470534,1.8956285469616732,-0.7463862939651261
99.0,29.882053735901902,1.8952295054105974,-0.7463862939654949
99.1,30.068188060751798,1.8951821714192496,-0.7463862939661443
99.2,30.25547397939788,1.895488714690695,-0.7463862939648822
99.3,30.443896949370327,1.8961514769963888,-0.7463862939661744
99.4,30.63344178613904,1.8971729747006345,-0.7463862939651664
99.5,30.824092635742836,1.8985559023886247,-0.7463862939655073
99.6,31.015832954132815,1.9003031356693767,-0.7463862939661008
99.7,31.20864548119844,1.902417734577048,-0.7463862939649251
99.8,31.402512214525913,1.9049029471658763,-0.746386293966307
99.9,31.59741438654382,1.9077622125397187,-0.7463862939649302
100.0,31.79333243391727,1.9109991649900013,-0.7463862939656614
100.1,31.990245974177665,1.9146176371796295,-0.7463862939656911
100.2,32.18813377522689,1.9186216642119973,-0.7463862939652866
100.3,32.38697372745382,1.9230154874688068,-0.7463862939663162
100.4,32.586742815456425,1.9278035583720587,-0.7463862939648033
100.5,32.787417085224334,1.9329905428618357,-0.7463862939662367
100.6,32.988971617258606,1.9385813250027577,-0.7463862939649528
100.7,33.19138049073983,1.9445810117988385,-0.7463862939656942
100.8,33.3946167549301,1.9509949370607222,-0.7463862939655556
100.9,33.59865239357361,1.957828666117829,-0.7463862939654455
101.0,33.80345829216412,1.9650880002285158,-0.7463862939661339
101.1,34.00900420362909,1.972778981068332,-0.7463862939649958
101.2,34.2152587112262,1.9809078956555846,-0.7463862939663589
101.3,34.42218919541708,1.989481280645069,-0.7463862939647803
101.4,34.629761792946894,1.9985059276448573,-0.7463862939661827
101.5,34.837941363575766,2.0079888874838825,-0.7463862939649305
101.6,35.04669144725797,2.0179374756374044,-0.7463862939658044
101.7,35.255974228702414,2.028359276697778,-0.7463862939653088
101.8,35.46575049447861,2.0392621496568317,-0.746386293965568
101.9,35.675979594206865,2.0506542326777617,-0.7463862939657301
102.0,35.886619398223054,2.062543948143215,-0.7463862939654083
102.1,36.09762625536,2.0749400076662057,-0.7463862939660562
102.2,36.3089549511461,2.0878514168909454,-0.7463862939651207
102.3,36.5205586623758,2.1012874806452557,-0.7463862939662205
102.4,36.73238891588654,2.1152578074635184,-0.7463862939649208
102.5,36.94439554024235,2.1297723147653334,-0.746386293966219
102.6,37.15652662471969,2.144841233101446,-0.7463862939648658
102.7,37.368728469047454,2.1604751111749603,-0.7463862939660915
102.8,37.58094554188331,2.1766848198257525,-0.7463862939649379
102.9,37.79312042974275,2.1934815566977184,-0.7463862939659011
103.0,38.00519379433093,2.2108768499372515,-0.7463862939650933
103.1,38.21710432168271,2.228882562330381,-0.7463862939657193
103.2,38.428788678021185,2.2475108946274,-0.7463862939652817
103.3,38.640181459877525,2.266774389002807,-0.7463862939656122
103.4,38.85121514856858,2.286685931850479,-0.7463862939654572
103.5,39.061820061754446,2.3072587564400777,-0.7463862939655784
103.6,39.271924307047364,2.328506444972612,-0.7463862939655815
103.7,39.48145373531141,2.350442930300932,-0.7463862939654721
103.8,39.69033189397035,2.373082497006324,-0.7463862939656257
103.9,39.89847998272869,2.3964397820215932,-0.7463862939653697
104.0,40.105816806982986,2.420529774457426,-0.7463862939655793
104.1,40.31225873667574,2.445367814958068,-0.7463862939653326
104.2,40.51771966063687,2.4709695939523972,-0.7463862939654615
104.3,40.722110948989496,2.4973511495504734,-0.7463862939653703
104.4,40.92534140974881,2.5245288638791217,-0.7463862939653484
104.5,41.127317254969974,2.552519459243123,-0.7463862939654219
104.6,41.32794206132367,2.5813399922643345,-0.746386293965378
104.7,41.52711674014382,2.6110078478559755,-0.746386293965334
